,first_hitter,inning,firsst_score,second_score,pre_high_LI,pre_get_point,pre_pinch_result,OBP,score_num
0,4,2,2,0,2.0,True,0,0.4,0
0,2,3,2,0,2.1,False,1,0.333,0
0,9,3,2,0,1.1,False,0,0.333,0
0,6,4,2,0,1.4,False,0,0.0,0
0,3,4,2,0,0.7,False,0,0.0,0
0,9,5,2,0,1.1,False,0,0.5,0
0,6,5,2,0,1.5,False,0,0.0,0
0,4,6,2,0,1.3,False,0,0.0,0
0,9,6,2,0,1.1,False,0,0.0,0
0,7,7,2,0,1.4,False,0,0.0,0
0,3,7,2,1,0.7,False,0,0.5,1
0,1,8,2,1,3.6,True,0,0.0,0
0,8,8,2,1,1.0,False,0,0.0,0
0,4,9,2,1,2.5,False,1,0.5,0
0,2,9,2,1,2.1,False,1,0.0,0
0,1,1,3,0,0,False,0,0.714,3
0,1,1,3,3,2.4,True,0,0.667,3
0,8,2,3,3,1.7,True,0,0.0,0
0,8,2,3,3,0.9,False,0,0.0,0
0,2,3,4,3,0.9,False,0,0.667,1
0,2,3,4,5,1.6,True,0,0.667,2
0,6,4,4,5,2.2,True,0,0.0,0
0,9,4,4,5,1.1,False,0,0.4,0
0,9,5,4,5,1.6,False,0,0.333,0
0,5,5,4,5,2.0,False,1,0.333,0
0,3,6,5,5,1.2,False,0,0.571,1
0,8,6,5,9,4.5,True,0,0.714,4
0,1,7,8,9,3.3,True,0,0.625,3
0,7,7,8,9,4.4,True,0,0.333,0
0,9,8,8,9,1.2,False,0,0.25,0
0,2,8,8,9,2.2,False,1,0.25,0
0,3,9,9,9,0.9,False,0,0.5,1
0,6,9,9,9,4.4,True,0,0.0,0
0,8,10,9,9,2.3,False,1,0.25,0
0,9,10,9,9,3.7,False,1,0.0,0
0,3,11,9,9,2.3,False,1,0.0,0
0,3,11,9,10,2.4,False,1,1.0,1
0,1,1,0,0,0,False,0,0.333,0
0,1,1,0,0,1.4,False,0,0.25,0
0,4,2,0,0,0.9,False,0,0.333,0
0,5,2,0,0,1.5,False,0,0.25,0
0,8,3,0,0,1.2,False,0,0.5,0
0,9,3,0,0,2.2,False,1,0.0,0
0,4,4,0,0,1.0,False,0,0.333,0
0,3,4,0,0,1.4,False,0,0.25,0
0,8,5,0,0,1.7,False,0,0.25,0
0,7,5,0,0,1.2,False,0,0.0,0
0,3,6,0,0,1.2,False,0,0.0,0
0,1,6,0,0,1.3,False,0,0.0,0
0,6,7,0,0,1.3,False,0,0.333,0
0,4,7,0,0,2.4,False,1,0.0,0
0,1,8,0,0,1.5,False,0,0.6,0
0,7,8,0,0,3.5,False,1,0.5,0
0,6,9,0,0,5.3,False,1,0.333,0
0,4,9,0,1,3.7,False,1,0.75,1
0,1,1,0,0,0,False,0,0.0,0
0,1,1,0,4,0.9,False,0,0.625,4
0,4,2,0,4,2.0,True,0,0.0,0
0,9,2,0,4,0.7,False,0,0.0,0
0,7,3,0,4,0.4,False,0,0.0,0
0,3,3,0,4,0.7,False,0,0.0,0
0,1,4,0,4,0.3,False,0,0.25,0
0,6,4,0,4,0.7,False,0,0.0,0
0,5,5,0,4,0.3,False,0,0.4,0
0,9,5,0,4,1.2,False,0,0.25,0
0,1,6,2,4,0.5,False,0,0.571,2
0,5,6,2,7,2.4,True,0,0.571,3
0,8,7,3,7,0.9,True,0,0.4,1
0,3,7,3,8,0.4,True,0,0.5,1
0,4,8,6,8,0.3,True,0,0.714,3
0,9,8,6,8,3.3,True,0,0.4,0
0,2,9,6,8,0.6,False,0,0.5,0
0,1,1,0,0,0,False,0,0.333,0
